property_id,prediccion
107812416,reformado
107812416,reformado
107700782,no_reformado
107700782,no_reformado
93478674,reformado
93478674,reformado
107755113,no_reformado
107755113,no_reformado
107166070,reformado
107166070,reformado
107374715,reformado
107446290,reformado
107446290,reformado
107178601,reformado
107178601,reformado
107190796,no_reformado
107190796,no_reformado
105777728,reformado
107685578,reformado
107685578,reformado
107814343,reformado
107814343,reformado
106814147,reformado
107830462,reformado
107735662,no_reformado
107490411,reformado
107490411,reformado
107207830,reformado
107815424,no_reformado
107815424,no_reformado
107189866,reformado
107189866,reformado
107727319,no_reformado
107727319,no_reformado
107611910,reformado
107611910,reformado
107487508,reformado
107487508,reformado
107284298,reformado
107284298,reformado
107767038,no_reformado
107767038,no_reformado
106327123,reformado
107533766,reformado
107533766,reformado
106650671,reformado
106959603,reformado
102765202,reformado
102765202,reformado
107678145,reformado
107678145,reformado
107800580,reformado
107602949,reformado
106522332,reformado
106522332,reformado
106235619,reformado
106235619,reformado
107786424,no_reformado
107786424,no_reformado
107250198,reformado
107820174,no_reformado
107820174,no_reformado
106647132,no_reformado
106647132,no_reformado
106186689,reformado
106186689,reformado
105713450,reformado
104223541,reformado
104223541,reformado
107709715,no_reformado
107500513,no_reformado
106631829,reformado
106631829,reformado
106813344,reformado
106813344,reformado
107151881,no_reformado
107827486,reformado
107827486,reformado
107075302,reformado
107075302,reformado
107019589,reformado
107019589,reformado
106350952,reformado
106350952,reformado
107339114,reformado
107339114,reformado
107435143,no_reformado
107435143,no_reformado
106641177,reformado
106641177,reformado
107720357,no_reformado
107720357,no_reformado
106617083,reformado
106637753,reformado
107586088,no_reformado
107586088,no_reformado
107816712,reformado
107816712,reformado
107211716,no_reformado
107211716,no_reformado
107340158,no_reformado
107340158,no_reformado
107623413,no_reformado
107623413,no_reformado
107520382,no_reformado
107520382,no_reformado
107441370,no_reformado
107441370,no_reformado
107774194,no_reformado
107619696,reformado
107619696,reformado
107535744,reformado
107320422,no_reformado
107320422,no_reformado
107771121,no_reformado
107771121,no_reformado
107772891,reformado
107772891,reformado
107720874,no_reformado
107720874,no_reformado
107311704,reformado
107311704,reformado
107158022,reformado
107158022,reformado
107110548,reformado
107110548,reformado
106734552,reformado
106734552,reformado
107468154,reformado
107468154,reformado
107789284,reformado
107446695,no_reformado
107446695,no_reformado
107110807,no_reformado
107110807,no_reformado
107709691,no_reformado
107360879,no_reformado
105959692,reformado
105959692,reformado
107768272,no_reformado
107768272,no_reformado
107172468,no_reformado
107172468,no_reformado
107577783,no_reformado
107561581,no_reformado
107561581,no_reformado
107285937,no_reformado
107285937,no_reformado
107421845,reformado
107421845,reformado
107456209,reformado
107431314,no_reformado
107468229,no_reformado
107730121,no_reformado
107603379,no_reformado
107603379,no_reformado
107684005,reformado
106264579,reformado
106264579,reformado
107294159,no_reformado
107294159,no_reformado
98992949,reformado
104867799,no_reformado
104867799,no_reformado
107156403,reformado
107628378,no_reformado
100243804,no_reformado
105512343,no_reformado
105512343,no_reformado
107820951,no_reformado
107820951,no_reformado
107245809,reformado
107862808,reformado
107862808,reformado
107541046,no_reformado
107541046,no_reformado
107861649,no_reformado
107862969,reformado
107862969,reformado
104131183,reformado
104131183,reformado
104961493,reformado
104961493,reformado
107863421,no_reformado
107863421,no_reformado
107829510,reformado
107829510,reformado
104131039,reformado
107867389,reformado
107852313,reformado
107852313,reformado
107854417,no_reformado
107854417,no_reformado
107861163,no_reformado
107861163,no_reformado
107863306,no_reformado
107863306,no_reformado
107846869,no_reformado
107846869,no_reformado
107812916,reformado
107812916,reformado
107505311,reformado
107505311,reformado
107855124,no_reformado
107855124,no_reformado
107850433,no_reformado
107850433,no_reformado
107862839,reformado
106661048,reformado
106661048,reformado
107230879,reformado
107230879,reformado
107155185,reformado
107155185,reformado
106662192,reformado
106662192,reformado
103839118,no_reformado
103839118,no_reformado
106905678,reformado
106905678,reformado
106360326,no_reformado
106360326,no_reformado
107432798,reformado
107767145,reformado
107767145,reformado
107753720,reformado
107753720,reformado
107313193,reformado
107313193,reformado
107547505,no_reformado
107005062,no_reformado
107005062,no_reformado
105924592,no_reformado
105924592,no_reformado
106330563,reformado
106330563,reformado
106779878,reformado
106249296,no_reformado
107426440,reformado
