iter	RMSE
0	1198968.927
1	1169640.716
2	1141761.279
3	1116475.8364	1097488.372
5	1076205.866
6	1053788.623
7	1028318.984
8	1003283.617
9	985176.9769
10	965794.1071
11	948910.1217
12	931140.6925
13	913689.2754
14	896599.6239
15	880647.3712
16	866194.9588
17	851300.1686
18	837630.9234
19	823330.0444
20	811841.0899
21	797617.8899
22	786966.1369
23	773136.1729
24	761100.8718
25	748862.30226	749566.5256
27	739459.7162
28	729156.2556
29	720378.4611
30	711594.2132
331	676271.0317
32	668254.2439
33	660526.0068
34	650905.1599
35	642441.1353
36	634070.6021
37	626601.60038	645415.416
39	640124.766
40	634530.1438
41	628277.2628
42	620959.8791
43	613942.7432
44	607012.3697
45	600362.264
46	594660.1126
47	589728.7677
48	583694.7034
49	578465.6218
50	572309.0836
51	566483.376
52	560525.9516
53	556964.8786
54	552200.1866
55	548231.5402
56	543352.4159
57	539185.112
58	534344.8427
59	530820.2893
60	528263.9496
61	525095.4112
62	521142.2532
63	63	510198.4736
64	506456.7922
65	503119.7792
66	500085.0866
67	496653.8794
68	493600.1873
69	490754.5523
70	487672.2402
71	484816.301
72	482256.671
73	479715.5114
74	477309.3692
75	474440.0917
76	470999.3803
77	468251.6172
78	466319.1231
79	463364.4886
80	460891.5565
81	458973.6234
82	456683.6251
83	454472.0716
84	452975.0069
85	451179.8151
86	448503.0671
87	446827.0168
88	444763.6257
89	443180.2543
90	441195.8474
91	440221.2901
92	438657.8942
93	436618.7695
94	434953.4714
95	433399.7007
96	432129.7959
97	431429.7102
98	430028.199	438203.4205
100	437257.2232
101	435624.8174
102	434083.0654
103	432750.4362
104	431470.4091
105	430710.311
106	429751.8932
107	427974.4132
108	426035.897
109	425111.346
110	423284.2064
111	421841.506
112	419911.5184
113	418409.5099
114	417550.7552
115	416308.7268
116	414669.7446
117	413648.4416
118	413159.0578
119	411896.8818
120	411521.3118
121	410034.941
122	408658.1218
123	407514.9192
124	406642.9643
125	404647.4123
126	403538.828
127	401955.5288
128	401165.2181
129	400640.4477
130	399397.3378
131	398158.0176
132	396822.6454
133	395591.2608
134	394333.2896
135	393698.8219
136	392648.921
137	391638.6703
138	390532.7105
139	389581.7023
140	388937.0208
141	387661.2868
142	386980.5516
143	385960.5539
144	384935.9348
145	384352.7015
146	383372.6687
147	382118.0196
148	381182.1768
149	380302.5067
150	379458.5296
151	379115.7994
152	378539.3782
153	377883.3027
154	376986.8765
155	376425.9369
156	376179.0807
157	375457.5541
158	374707.8988
159	373606.5313
160	372645.8189
161	372037.1377
162	370611.0027
163	369330.9721
164	368167.9854
165	366810.8807
166	365868.6522
167	364765.1018
168	364539.4741
169	363352.617
170	363088.602
171	362411.4697
172	361013.4379
173	360062.5723
174	359350.0778
175	358490.4752
176	357541.5046
177	356337.4931
178	356148.8856
179	355629.8591
180	355364.6296
181	353985.9786
182	353348.719
183	352537.465
184	351830.2556
185	350787.509
186	350084.5189
187	349168.4513
188	348453.1791
189	348045.2815
190	347356.3747
191	346523.9846
192	346318.6931
193	345894.9047
194	345133.8342
195	344633.9807
196	343918.526
197	343753.1839
198	343191.4328
199	342979.8002
200	342467.9008
201	341948.5163
202	341392.1437
203	340665.6214
204	340492.4221
205	340038.2772
206	339422.3531
207	339225.2239
208	338336.3332
209	337930.6248
210	337154.6176
211	336415.7126
212	335765.7624
213	335112.7051
214	334618.0779
215	334023.5992
216	333396.5964
217	332991.497
218	332239.9516
219	331206.4547
220	330881.1793
221	330543.7013
222	329650.313
223	329438.2669
224	328666.3381
225	328542.3624
226	327826.068
227	327020.8913
228	326751.7799
229	325891.9426
230	325238.5871
231	324642.6796
232	324055.2007
233	323394.3956
234	322617.6632
235	321924.9407
236	321340.8965
237	320587.2436
238	319777.3519
239	319234.3577
240	318309.1321
241	317552.3956
242	317448.2431
243	317083.6256
244	316232.1466
245	315597.4088
246	314857.9365
247	314274.5376
248	314025.1518
249	313403.5663
250	313002.116
251	312592.7752
252	312479.5788
253	311929.091
254	311385.0059
255	310956.8383
256	310557.8094
257	309960.0562
258	309214.9957
