iter	Passed	Remaining
0	51	51306
1	55	27490
2	57	19069
3	58	14495
4	61	12139
5	68	11300
6	73	10422
7	78	9681
8	81	8956
9	84	8391
10	85	7671
11	92	7630
12	99	7576
13	102	7212
14	110	7267
15	111	6847
16	118	6838
17	118	6490
18	119	6177
19	120	5894
20	121	5641
21	122	5448
22	123	5227
23	123	24	140	5489
25	142	526	143	5167
27	160	5572
28	161	5401
29	162	5239
30	162	50831	193	5846
32	193	5683
33	194	5528
34	195	5380
35	209	5619
36	210	5475
37	214	5422
3838	218	5378
39	218	5254040	233	5454
41	233	5334
42	234	5218
43	261	5688
44	267	5681
45	268	5568
46	269	5459
47	269	5354
48	270	5253
49	271	5156
50	272	5063
51	272	4974
52	291	5211
53	292	5122
54	293	5036
55	300	5061
56	300	4979
57	306	4983
58	307	4905
59	308	4830
60	308	4756
61	309	4685
62	310	46163	324	4741
64	324	4674
65	325	4608
66	330	4597
67	331	4545
68	332	4486
69	333	4435
70	334	4380
71	336	4333
72	336	4277
73	337	4225
74	338	4172
75	339	4121
76	339	4071
77	340	4020
78	340	3972
79	341	3924
80	341	3877
81	342	3833
82	343	3791
83	350	3825
84	351	3781
85	351	3738
86	352	3696
87	352	3656
88	353	3616
89	353	3578
90	354	3540
91	354	3503
92	355	3468
93	356	3433
94	356	3398
95	357	3363
96	357	3330
97	358	3297
98	358	3265
9999	359	3238
100	364	3244
101	366	3229
102	367	3200
103	368	3170
104	387	3305
105	390	3290
106	390	3261
107	391	3233
108	392	3206
109	392	3179
110	393	3152
111	394	3125
112	394	3099
113	395	3073
114	396	3048
115	396	3022
116	397	2996
117	398	2976
118	398	2953
119	399	2931
120	414	3011
121	418	3008
122	418	2984
123	476	3365
124	477	3343
125	479	3328
126	495	3403
127	507	3454
128	508	3434
129	509	3408
130	509	3383
131	510	3357
132	511	3333
133	511	3308
134	512	3284
135	513	3260
136	513	3237
137	514	3214
138	515	3191
139	515	3169
140	516	3147
141	517	3125
142	517	3104
143	518	3082
144	519	3061
145	519	3040
146	520	3020
147	521	3000
148	521	2980
149	522	2961
150	546	3071
151	546	3051
152	547	3032
153	548	3013
154	549	2994
155	567	3068
156	567	3049
157	568	3030
158	569	3011
159	600	3153
160	601	3133
161	608	3148
162	609	3129
163	610	3109
164	610	3090
165	611	3071
166	612	3053
167	612	3034
168	613	3016
169	614	2998
170	614	2978
171	615	2961
172	615	2943
173	616	2926
174	617	2909
175	617	2892
176	618	2875
177	619	2858
178	619	2842
179	620	2826
180	689	3120
181	690	3103
182	691	3085
183	691	3067
184	692	3050
185	693	3033
186	693	3016
187	694	2999
188	695	2983
189	695	2966
190	736	3118
191	736	3101
192	737	3084
193	739	3070
194	739	3053
195	740	3036
196	740	3019
197	741	3005
198	742	2988
199	742	2971
200	743	2955
201	749	2961
202	756	2971
203	757	2955
204	758	2940
205	758	2925
206	760	2913
207	761	2898
208	762	2884
209	762	2869
210	763	2854
211	764	2840
212	764	2825
213	766	2814
214	767	2802
215	768	2789
216	769	2775
217	769	2761
218	771	2750
219	771	2736
220	773	2724
221	776	2719
222	776	2706
223	778	2697
224	779	2684
225	779	2671
226	780	2658
227	781	2644
228	783	2638
229	784	2625
230	786	2616
231	786	2603
232	787	2591
233	787	2578
234	788	2565
235	788	2552
236	789	2540
237	789	2527
238	791	2518
239	791	2507
240	792	2495
241	792	2483
242	793	2471
243	794	2460
244	794	2448
245	795	2437
246	795	2425
247	796	2414
248	796	2403
249	797	2393
250	798	2381
251	798	2370
252	799	2359
253	800	2349
254	800	2338
255	801	2328
256	801	2318
257	802	2307
258	802	2297
259	803	2286
260	804	2276
261	804	2266
262	805	2256
263	805	2245
264	806	2235
265	806	2225
266	807	2215
267	807	2205
268	808	2196
269	808	2186
270	809	2176
271	809	2166
272	810	2157
273	810	2147
274	811	2138
275	812	2130
276	813	2122
277	813	2113
278	814	2104
279	815	2095
280	840	2150
281	841	2141
282	841	2132
283	842	2124
284	843	2115
285	864	2159
286	865	2150
287	866	2142
288	867	2133
289	887	2171
290	887	2163
291	888	2154
292	889	2145
293	890	2137
294	904	2160
295	904	2151
296	905	2143
297	906	2134
298	919	2155
299	920	2147
300	920	2138
301	921	2129
302	921	2120
303	941	2154
304	941	2145
305	942	2137
306	943	2128
307	943	2120
308	963	2154
309	963	2145
310	964	2137
311	965	2128
312	976	2142
313	976	2134
314	977	2125
315	979	2120
316	980	2111
317	980	2103
318	981	2095
319	981	2086
320	982	2078
321	983	2069
322	983	2061
323	984	2053
324	984	2045
325	985	2037
326	985	2028
327	986	2020
328	986	2012
329	987	2004
330	988	1997
331	988	1989
332	989	1981
333	989	1973
334	990	1965
335	990	1957
336	991	1950
337	991	1942
338	992	1935
339	993	1927
340	993	1920
341	994	1912
342	994	1905
343	995	1898
344	995	1890
345	996	1883
346	997	1876
347	997	348	1027	1916
349	1027	1908
350	1028	1901
351	1028	1894
352	1029	1887
353	1030	1879
3354	1003	1823
355	1004	1817
356	1005	18113357	1007	1806358	1044	1864
359	1046	1860
360	1048	1856
361	1050	1851
362	1051	1845
363	1053	1839
364	1054	1833
365	1055	1829
366	1056	1822
367	1058	1817
368	1058	1810
369	1060	1805
370	1061	1799
371	1063	1795
372	1066	1791
373	1070	1792
374	1077	1795
375	1079	1792
376	1084	1792
377	1088	1790
378	1090	1786
379	1093	1783
380	1093	1777
381	1099	1778
382	1099	1771
383	1100	1765
384	1101	1759
