centro_codigo,centro_nombre,centro_tipo_codigo,centro_tipo_desc_abreviada,centro_tipo_descripcion,centro_titularidad,centro_titular,nif_titular,nif_centro,dat_codigo,dat_nombre,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,distrito_codigo,distrito_nombre,contacto_telefono1,contacto_telefono2,contacto_telefono3,contacto_telefono4,contacto_fax,contacto_web,contacto_email1,contacto_email2,direccion_coor_x,direccion_coor_y,situación,fecha_constitución,lon,lat
28004059,CERVANTES,42,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8480*,5,Madrid-Capital,CALLE,de Embajadores,70,28012.0,79,Madrid,1.0,Centro,915285061,915285512,,,915276281,http://www.educa.madrid.org/ies.cervantes.madrid,ies.cervantes.madrid@educa.madrid.org,,440331.0,4473049.0,ALTA,1953-01-01,-3.703208840560079,40.40591722304497
28004266,DAMASO ALONSO,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8593*,5,Madrid-Capital,AVDA,de Espinela,1,28021.0,79,Madrid,17.0,Villaverde,917970620,,,,917970620,http://www.educa.madrid.org/cp.damasoalonso.madrid,cp.damasoalonso.madrid@educa.madrid.org,,439803.0,4466409.0,ALTA,1977-05-24,-3.708803852897108,40.34606261092851
28004291,CERVANTES BABY,8,EIPR,ESCUELA INFANTIL PRIVADA,PRIVADO,FRANCISCO MAYO BAEZA,***3095**,,5,Madrid-Capital,CALLE,del Avefría,20,28025.0,79,Madrid,11.0,Carabanchel,914615068,679516414,,,,,cervantes_baby@yahoo.es,cervantes_baby@yahoo.es,438033.0,4470660.0,ALTA,1997-09-19,-3.730056615886864,40.38422815782422
28004436,FRANCISCO ALCANTARA CERAMICA,103,E ARTE,ESCUELA DE ARTE,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8269*,5,Madrid-Capital,CALLE,de Francisco y Jacinto Alcántara,2,28008.0,79,Madrid,9.0,Moncloa-Aravaca,915423241,,,,915473942,http://www.educa.madrid.org/ea.franciscoalcantara.madrid,ea.franciscoalcantara.madrid@educa.madrid.org,,438560.0,4475376.0,ALTA,1900-01-01,-3.7243035653344263,40.42675103112452
28004552,ISAAC ALBENIZ,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8355*,5,Madrid-Capital,CALLE,de la Drácena,29,28016.0,79,Madrid,5.0,Chamartín,913596972,,,,913596972,http://www.educa.madrid.org/cp.albeniz.madrid,cp.albeniz.madrid@educa.madrid.org,,443282.0,4479541.0,ALTA,1978-11-03,-3.6690125439029457,40.464606730366974
28004904,CIUDAD DE JAEN,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8333*,5,Madrid-Capital,CALLE,de la Madre Rosa Blanco_,3,28041.0,79,Madrid,12.0,Usera,913174313,913171644,913174316,,913171644,http://www.educa.madrid.org/cp.ciudaddejaen.madrid,cp.ciudaddejaen.madrid@educa.madrid.org,,440505.0,4469336.0,ALTA,1975-11-07,-3.700811559915262,40.37248104253189
28004941,VASCO NUÑEZ DE BALBOA,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8626*,5,Madrid-Capital,CALLE,de Nuestra Señora de Valverde,149,28034.0,79,Madrid,8.0,Fuencarral-El Pardo,917343267,917350225,,,917355336,http://www.educa.madrid.org/cp.nunezdebalboa.madrid,cp.nunezdebalboa.madrid@educa.madrid.org,,441845.0,4483434.0,ALTA,1900-01-01,-3.6863185106829888,40.49957709980069
28004965,ESCUELAS AGUIRRE,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8621*,5,Madrid-Capital,CALLE,de Pío Baroja,4,28009.0,79,Madrid,3.0,Retiro,915741864,680960872,,,915044683,http://www.educa.madrid.org/cp.aguirre.madrid,cp.aguirre.madrid@educa.madrid.org,cp.aguirre.madrid@educa.madrid.org,442775.0,4473992.0,ALTA,1973-09-11,-3.6744926458016494,40.41458385059369
28004989,AGUSTINA DIEZ,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8316*,5,Madrid-Capital,CALLE,del Vesubio,5,28038.0,79,Madrid,13.0,Puente de Vallecas,917770073,,,,,http://www.educa.madrid.org/cp.agustinadiez.madrid,cp.agustinadiez.madrid@educa.madrid.org,,445063.0,4471051.0,ALTA,1976-07-05,-3.6472725814270657,40.388243729405936
28004990,ALBERTO ALCOCER,14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,COMUNIDAD DE MADRID,****0001*,****8317*,5,Madrid-Capital,AVDA,canillejas-vicalvaro,56,28022.0,79,Madrid,20.0,San Blas-Canillejas,913202609,913202609,,,913200446,http://www.educa.madrid.org/cp.albertoalcocer.madrid,cp.albertoalcocer.madrid@educa.madrid.org,,448088.0,4475961.0,ALTA,1981-10-17,-3.612034336551112,40.43267018391249
